New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
NEW,"3.06GHZ/1M/533 (Pentium 4 Mobile 532)",,1,x,Intel,RK80546HE0831M,3.06GHZ/1M/533,SL7DT,,,CPU,"Pentium 4 (Prescott)",Mobile,532,,Prescott,F34,x86,"MMX, SSE, SSE2, SSE3",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,3.067GHz,"533MHz (QDR)",,23,integrated,none,,,,16k,"12K micro-ops",1M,,NA,NA,NA,4G,,FC-mPGA4-478,"35mm x 35mm","Socket 478",125M,90nm,CMOS,,"1.25V - 1.4V",,"1.25V - 1.4V",,,,"53.68 Watt (Stop Grant mode)",,102.72,88,"SpeedStep, Auto-HALT, Stop Grant, Sleep, Deep Sleep, Deeper Sleep, Address bus powerdown","5°C - 75°C",2004,2004,234,"Mobile computers",,,1,,,,,,,,,,,,,,,
NEW,"3.20GHZ/1M/533 (Pentium 4 Mobile 538)",,1,x,Intel,RK80546HE0881M,3.20GHZ/1M/533,SL7NB,,,CPU,"Pentium 4 (Prescott)",Mobile,538,,Prescott,F41,x86,"MMX, SSE, SSE2, SSE3",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,3.20GHz,"533MHz (QDR)",,24,integrated,none,,,,16k,"12K micro-ops",1M,,NA,NA,NA,4G,,FC-mPGA4-478,"35mm x 35mm","Socket 478",125M,90nm,CMOS,,"1.25V - 1.4V",,"1.25V - 1.4V",,,,"53.68 Watt (Stop Grant mode)",,102.72,88,"SpeedStep, Auto-HALT, Stop Grant, Sleep, Deep Sleep, Deeper Sleep, Address bus powerdown","5°C - 75°C",2004,2004,294,"Mobile computers",,,1,,,,,,,,,,,,,,,
NEW,"2.80GHZ/1M/533 (Pentium 4)",,1,x,Intel,RK80546PE0721M,2.80GHZ/1M/533,SL7PK,,,CPU,"Pentium 4 (Prescott)",,,,Prescott,F41,x86,"MMX, SSE, SSE2, SSE3",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,2.8GHz,"533MHz (QDR)",,21,integrated,none,,,,16k,,1M,,NA,NA,NA,4G,,FC-mPGA4-478,"35mm x 35mm","Socket 478",125M,90nm,CMOS,,"1.25V - 1.4V",,"1.25V - 1.4V",,,,"53.68 Watt (Stop Grant mode) ",,100.39,89W,"System Managment, Auto-HALT, stop Grant, Sleep","5°C – 69.1°C",,,,"Desktop computers",,,1,,,,,,,,,,,,,,,
NEW,"2.80GHZ/1M/800 (Pentium 4)",,1,x,Intel,RK80546PG0721M,2.80GHZ/1M/800,SL7PL,,,CPU,"Pentium 4 (Prescott)",,,,Prescott,F41,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,2.8GHz,"800MHz (QDR)",,14,integrated,none,,,,16k,,1M,,NA,NA,NA,4G,,FC-mPGA4-478,"35mm x 35mm","Socket 478",125M,90nm,CMOS,,"1.25V - 1.4V",,"1.25V - 1.4V",,,,"53.68 Watt (Stop Grant mode) ",,100.39,89W,"System Managment, Auto-HALT, stop Grant, Sleep","5°C – 69.1°C",2004,2004,178,"Desktop computers",,,1,,,,,,,,,,,,,,,
NEW,"3.00GHZ/1M/800 (Pentium 4)",,1,x,Intel,RK80546PG0801M,3.00GHZ/1M/800,SL7E2,,,CPU,"Pentium 4 (Prescott)",,,,Prescott,F41,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,2.8GHz,"800MHz (QDR)",,14,integrated,none,,,,16k,,1M,,NA,NA,NA,4G,,FC-mPGA4-478,"35mm x 35mm","Socket 478",125M,90nm,CMOS,,"1.25V - 1.4V",,"1.25V - 1.4V",,,,"53.68 Watt (Stop Grant mode) ",,100.39,89W,"System Managment, Auto-HALT, stop Grant, Sleep","5°C – 69.1°C",2004,2004,178,"Desktop computers",,,1,,,,,,,,,,,,,,,
NEW,"1.4GHZ/256/400/1.7V (Pentium 4)",,1,x,Intel,"80528PC017G0K (1.7V)",1.4GHZ/256/400/1.7V,SL4SG,BX80528JK140G,BX80528JK140GR,CPU,"Pentium 4 (Willamette)",,,,Willamette,F07,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.4GHz,"400MHz (QDR)",,14,integrated,none,,"12k uOps/8k",,8k,"12K micro-ops",256k,none,NA,NA,NA,,,"OLGA package w/ IHS on 423-pin interposer","53.3mm 53.3mm","Socket 423 / PGA423",42M,0.18u,CMOS,217mm^2,1.7V,,1.7V,,,,"16.66 Watt (Stop Grant mode)",,"66.18 Watt","51.8 Watt","System Managment, Auto-HALT, stop Grant, Sleep, Deep Sleep","5°C - 70°C",2000,2000,644,"Desktop computers",,,,,,,,,,,,,,,,,,
NEW,"1.3GHZ/256/400/1.7V (Pentium 4)",,1,x,Intel,"BX80528JK130G (Boxed, 1.7V)",1.3GHZ/256/400/1.7V,SL4QD,BX80528JK130GR,,CPU,"Pentium 4 (Willamette)",,,,Willamette,,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.3GHz,"400MHz (QDR)",,13,integrated,none,,"12k uOps/8k",,8k,"12K micro-ops",256k,none,NA,NA,NA,,,"OLGA package w/ IHS on 423-pin interposer","53.3mm 53.3mm","Socket 423 / PGA423",42M,0.18u,CMOS,217mm^2,1.7V,,1.7V,,,,"16.49 Watt (Stop Grant mode)",,"62.2 Watt",48.9W,"System Managment, Auto-HALT, stop Grant, Sleep, Deep Sleep","5°C - 69°C",2000,2000,644,"Desktop computers",,,,,,,,,,,,,,,,,,
NEW,"1.6GHZ/256/400/1.75V (Pentium 4)",,,X,Intel,"BX80531NK160G (Boxed)",1.6GHZ/256/400/1.75V,SL5UJ,,,CPU,"Pentium 4 (Willamette)",,,,Willamette,F12,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.6GHz,"400MHz (QDR)",,16,integrated,none,,8k,,,,256k,none,NA,NA,NA,,,FC-PGA2-478,"35mm x 35mm","Socket 478 (mPGA478B)",42M,0.18u,CMOS,,1.75V,,1.75V,3.3V,,,"21.7 Watt (Stop Grant mode)",,"76.3 Watt","60.8 Watt","System Managment, Auto-HALT, stop Grant, Sleep","5°C - 75°C",,,,"Desktop computers",,,1,,,,,,,,,"datasheet-Intel-Pentium-4--423-pin--1.30,1.40,1.50,1.60,1.70,1.80,1.90,2GHz.pdf",,,,,,
NEW,"1.4GHZ/256/400/1.75V (Pentium 4)",,,X,Intel,RK80531PC017G0K,1.4GHZ/256/400/1.75V,SL5TG,BX80531NK140G,,CPU,"Pentium 4 (Willamette)",,,,Willamette,F12,"x86, FPU, MMX, SSE, SSE2, SMM, Protected","MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.4GHz,"400MHz (QDR)",,14,integrated,none,,8k,,,,256k,none,NA,NA,NA,,,FC-PGA2-478,"35mm x 35mm","Socket 478 (mPGA478B)",42M,0.18u,CMOS,,1.75V,,1.75V,3.3V,,,"21.2 Watt (Stop Grant mode) ",,"69.1 Watt","55.3 Watt","System Managment, Auto-HALT, stop Grant, Sleep","5°C - 72°C",,,,"Desktop computers",,,1,,,,,,,,,"datasheet-Intel-Pentium-4--423-pin--1.30,1.40,1.50,1.60,1.70,1.80,1.90,2GHz.pdf",,,,,,
,"1.5GHZ/256/400/1.75V (Pentium 4)",,,X,Intel,RK80531PC021G0K,1.5GHZ/256/400/1.75V,SL5TJ,,,CPU,"Pentium 4 (Willamette)",,,,Willamette,,"x86, FPU, MMX, SSE, SSE2, SMM, Protected","MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.5GHz,"400MHz (QDR)",,,integrated,none,,8k,,,,256k,none,NA,NA,NA,,,FC-PGA2-478,"35mm x 35mm","Socket 478 (mPGA478B)",42M,0.18u,CMOS,,1.75V,,1.75V,3.3V,,,,,72.5W,,,,,,,"Desktop computers",,,1,,ic-photo-Intel--RK80531PC021G0K--(Pentium-4-CPU)-.JPG,,,,,,,"datasheet-Intel-Pentium-4--423-pin--1.30,1.40,1.50,1.60,1.70,1.80,1.90,2GHz.pdf",,,,,,
NEW,"1.6GHZ/256/400/1.75V (Pentium 4)",,,X,Intel,RK80531PC025G0K,1.6GHZ/256/400/1.75V,SL5VH,,,CPU,"Pentium 4 (Willamette)",,,,Willamette,F12,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.6GHz,"400MHz (QDR)",,16,integrated,none,,8k,,,,256k,none,NA,NA,NA,,,FC-PGA2-478,"35mm x 35mm","Socket 478 (mPGA478B)",42M,0.18u,CMOS,,1.75V,,1.75V,3.3V,,,"21.7 Watt (Stop Grant mode)",,"76.3 Watt","60.8 Watt","System Managment, Auto-HALT, stop Grant, Sleep","5°C - 75°C",,,,"Desktop computers",,,1,,,,,,,,,"datasheet-Intel-Pentium-4--423-pin--1.30,1.40,1.50,1.60,1.70,1.80,1.90,2GHz.pdf",,,,,,
,"1.8GHZ/265/400/1.75V (Pentium 4)",LN,2,1,Intel,RK80531PC033G0K,1.8GHz/265/400/1.75V,"SL5VJ,SL5UK",,,CPU,"Pentium 4 (Willamette)",,,,Willamette,,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.8GHz,"400MHz (QDR)",,,integrated,none,,8k/12k,,,,256k,none,NA,NA,NA,,,"OLGA package w/ IHS on 423-pin interposer",,"Socket 423",42M,0.18u,CMOS,217mm^2,1.7V,,1.7V,3.3V,,,,,83.4W,,,,,,,"Desktop computers",,,1,,ic-photo-Intel--1.8GHZ_256_400_1.75V--(Pentium-4-CPU).png,,,,,,,"datasheet-Intel-Pentium-4--423-pin--1.30,1.40,1.50,1.60,1.70,1.80,1.90,2GHz.pdf",,,,,,
,"1.8GHZ/256/400/1.75V (Pentium 4)",,1,X,Intel,RN80528PC033G0K,1.8GHZ/256/400/1.75V,SL5VM,BX80528JK180G,,CPU,"Pentium 4 (Willamette)",,,,Willamette,,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.8GHz,"400MHz (QDR)",,,integrated,none,,8k/12k,,,,256k,none,NA,NA,NA,,,"OLGA package w/ IHS on 423-pin interposer",,"Socket 423",42M,0.18u,CMOS,217mm^2,1.75V,,1.75V,3.3V,,,,,84.12W,,,,,,,"Desktop computers",,,1,,,,,,,,,,,,,,,
NEW,"1.7GHZ/256/400/1.75V (Pentium 4)",,1,x,Intel,YD80528PC029G0K,1.7GHZ/256/400/1.75V,SL57W,BX80528JK170G,BX80528JK170GR,CPU,"Pentium 4 (Willamette)",,,,Willamette,F08,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,NetBurst,Intel,No,1,,,32,64,32,1.7GHz,"400MHz (QDR)",,17,integrated,none,,"12k uOps/8k",,8k,"12K micro-ops",256k,none,NA,NA,NA,,,"OLGA package w/ IHS on 423-pin interposer","53.3mm 53.3mm","Socket 423 / PGA423",42M,0.18u,CMOS,217mm^2,1.75V,,1.75V,,,,"19.08 Watt (Stop Grant mode)",,"83.58 Watt","64 Watt","System Managment, Auto-HALT, stop Grant, Sleep, Deep Sleep","5°C - 76°C",2001,2001,352,"Desktop computers",,,,,,,,,,,,,,,,,,
,"3.0GHZ/2M/800/05B (Pentium D 830)",,1,X,Intel,HH80551PG0802MN,3.0GHZ/2M/800/05B,"SL88S, BX80551PG3000FT, HH80551PG0802MN",,,CPU,"Pentium D",830,,,Smithfield,,x86-64,"MMX, SSE, SSE2, SSE3, EM64T, NX/XD",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,NetBurst,Intel,No,2,,,64,,,3GHz,"800MHz (QDR)",,15,integrated,none,,"2x 16k",,"2x 16k",,"2x 1M",ext,NA,NA,NA,,,FC-LGA4-775,"37.5mm x 37.5mm","Socket 775",230M,90nm,CMOS,,1.25-1.4V,,1.25-1.4V,,,,"85.48 Watt (Stop Grant mode)",,154.63W,130W,"HALT, Enhanced HALT, Stop Grant, powerdown modes; Enhanced SpeedStep technology",5-69.8C,2005,2005,316,"Desktop computers",SSE3,,,,,,,,,,,datasheet-intel--Pentium_D-8xx.pdf,,,,,,
,"3.20GHZ/4M/800 (Pentium D 940)",,2,1,Intel,HH80553PG0884M,3.20GHZ/4M/800,"SL94Q, SL95W",,,CPU,"Pentium D",940,,,Presler,,x86-64,"MMX, SSE, SSE2, SSE3, EM64T, NX/XD, VT",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,NetBurst,Intel,No,2,,,64,,,3.2GHz,"800MHz (QDR)",,16,integrated,none,,"2x 16k",,"2x 16k",,"2 x 2M",,NA,NA,NA,,,FC-LGA6-775,"37.5mm x 37.5mm","Socket 775",376M,65n,CMOS,,1.2-1.3375V,,1.2-1.3375V,,,,"63.13 Watt (Stop Grant mode) (775_VR_CONFIG_05A)",,"118.75 Watt (775_VR_CONFIG_05A)","95 Watt (775_VR_CONFIG_05A)","HALT, Enhanced HALT, Stop Grant, powerdown modes; Enhanced SpeedStep technology","5°C - 62.3°C (775_VR_CONFIG_05A)",2006,2006,423,"Desktop computers",,,,,,,,,,,,,,,,,,
,"3.20GHZ/4M/800 (Pentium D 940)",,1,X,Intel,"HH80553PG0884M ",3.20GHZ/4M/800,"80553 940",BX80553940,,CPU,"Pentium D",940,,,Presler,,x86-64,"MMX, SSE, SSE2, SSE3, EM64T, NX/XD, VT",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,NetBurst,Intel,No,2,,,64,,,3.2GHz,"800MHz (QDR)",,16,integrated,none,,"2x 16k",,"2x 16k",,"2 x 2M",,NA,NA,NA,,,FC-LGA6-775,"37.5mm x 37.5mm","Socket 775",376M,65n,CMOS,,1.2-1.3375V,,1.2-1.3375V,,,,"63.13 Watt (Stop Grant mode) (775_VR_CONFIG_05A)",,"118.75 Watt (775_VR_CONFIG_05A)","95 Watt (775_VR_CONFIG_05A)","HALT, Enhanced HALT, Stop Grant, powerdown modes; Enhanced SpeedStep technology","5°C - 62.3°C (775_VR_CONFIG_05A)",2006,2006,423,"Desktop computers",,,,,ic-photo-Intel--BX80553940--(3.20GHZ-4M-800-05A)--(Pentium_D-CPU).JPG,,,,,,,,,,,,,
NEW,"2.30/1M/800 (Pentium Dual-Core Mobile T4500)",`````,1,X,Intel,AW80577GG0521MA,"AW80577 T4500",SLGZC,2.30/1M/800,,CPU,"Pentium Dual-Core","Pentium Mobile",T4500,,Penryn-3M,,x84-64,"MMX, SSE, SSE2, SSE3, SSSE3, EM64T, NX/XD",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,Core,Intel,No,2,,,64,,,2.3GHz,"800MHz (QDR)",,11.5,integrated,none,,"2x 32k/32k",,"2x 32k","2x 32k","shared 1M",,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket P",,45n,CMOS,,,,,,,,,,,35W,"Enhanced SpeedStep",,2010,2010,,"Desktop computers",,,,,,,,,,,,,,,,,,
NEW,"Pentium Dual-Core B960 Mobile",,1,x,Intel,FF8062700997701,,SR07V,,,CPU,"Pentium Dual-Core",Mobile,B960,,"Sandy Bridge",,x86-64,"MMX, SSE, SSE2, SSE3, SSSE3, SSE4, EM64T, NX/XD, DMI, PCIe",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,"Sandy Bridge",,No,2,,,64,,,2.2GHz,"5 GT/s DMI",,22,integrated,"HD (Sandy Bridge)",,"2x 32k/32k",,"2x 32k","2x 32k","2x 256k","2M shared",NA,NA,NA,16G,DDR3,"FC-uPGA-988 (rPGA988B)","37.5mm x 37.5mm","Socket G2 / rPGA988B",,"32nm High-K",CMOS,,,,,,,,,,,35W,"Enhanced SpeedStep",85C,2011,2011,134,"Mobile computers","DMI, PCIe",,,,,,,,,,,,,,,,,
NEW,"Pentium Dual-Core E2220 Mobile",,1,x,Intel,HH80557PG0561M,2.40GHZ/1M/800/06,SLA8W,BX80557E2220,BXC80557E2220,CPU,"Pentium Dual-Core",,E2220,,Allendale,6FD,x84-64,"MMX, SSE, SSE2, SSE3, SSSE3, EM64T, NX/XD",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,Core,Intel,No,2,,,64,,,2.4GHz,"800MHz (QDR)",,12,integrated,none,,"2x 32k/32k",,"2x 32k","2x 32k","shared 1M",,NA,NA,NA,,,FC-LGA-775,"37.5mm x 37.5mm","Socket 775",,65n,CMOS,,"0.85V - 1.5V",,"0.85V - 1.5V",,,,,,"111.15 Watt",65W,"Halt, Extended halt, Stop grant, Enhanced SpeedStep","5°C - 73.3°C",,,,"Desktop computers",,,,,,,,,,,,,,,,,,
NEW,"Pentium Dual-Core T2370 Mobile",`````,1,X,Intel,LF80537GE0301M,"LF80537 T2370",SLA4J,,,CPU,"Pentium Dual-Core",Mobile,T2370,,Merom-2M,6FD,x84-64,"MMX, SSE, SSE2, SSE3, SSSE3, EM64T, NX/XD",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,Core,Intel,No,2,,,64,,,1.733GHz,"533MHz (QDR)",,13,integrated,none,,"2x 32k/32k",,"2x 32k","2x 32k","shared 1M",,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket P",,65n,CMOS,,1.2125V,,1.2125V,,,,,,,35W,"Stop Grant mode, Sleep mode, Deep Sleep mode, Core C1/AutoHALT, C1/MWait, C2 and C3 modes, Enhanced SpeedStep technology","0°C - 100°C",,,,"Mobile computers",,,,,,,,,,,,,,,,,,
NEW,"Pentium Dual-Core T2080 Mobile",`````,1,X,Intel,LF80539GE0301M,"LF80539 T2080",SL9VY,1.73/1M/533,,CPU,"Pentium Dual-Core",Mobile,T2080,,Yonah,6EC,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,,,,32,,32,1.733GHz,"533MHz (QDR)",,13,integrated,none,,"2x 32k/32k",,"2x 32k","2x 32k","shared 2M",,NA,NA,NA,,,FC-PGA-478,"35mm x 35mm","Socket M / mPGA478MT",,65n,CMOS,,1-1.3V,,1-1.3V,,,,,,46.8,31W,"Stop Grant mode, Sleep mode, Deep Sleep mode, Core C1/AutoHALT, C1/MWait, C2 and C3 modes, Enhanced SpeedStep technology",0-100C,,,,,,,,,,,,,,,,,,,,,,
,,MX,1,X,Intel,80522PX233512,,SL2HD,,,CPU,"Pentium II",,,,Klamath,,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,233MHz,66MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC-242,,"Slot 1",7.5M,0.35u,CMOS,204mm^2,2.7V?,,,3.3V,,,,,41.71W,,,,1997,1997,,"Desktop computers",,,,,ic-photo-Intel--80522PX233512--(Pentium-II-MMX-CPU).jpg,,,,,,,datasheet-Intel-Pentium-II-233MHz-266MHz-300MHz-333MHz.pdf,,,,,,
,,,1,X,Intel,80522PX266512EC,,SL2HE,,,CPU,"Pentium II",,,,Klamath,,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,266MHz,66MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC-242,,"Slot 1",7.5M,0.35u,CMOS,,2.8V,,,3.3V,,,,,44.23W,,,,1997,1997,,"Desktop computers",,,,,,,,,,,,datasheet-Intel-Pentium-II-233MHz-266MHz-300MHz-333MHz.pdf,,,,,,
,,,1,X,Intel,80522PX300512EC,,SL2HA,,,CPU,"Pentium II",,,,Klamath,,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,300MHz,66MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC-242,,"Slot 1",7.5M,0.35u,CMOS,,2.8V,,,3.3V,,,,,43W,,,,1997,1997,,"Desktop computers",,,,,ic-photo-Intel--80522PX300512EC--(Pentium-II-CPU).JPG,,,,,,,,,,,,,
,,MY,1,X,Intel,80523PY350512,,,,,CPU,"Pentium II",,,,Deschutes,,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,350MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC-242,,"Slot 1",7.5M,0.25u,CMOS,,2.0V,,,3.3V,,,,,29.52W,,,,1998,1998,,"Desktop computers",,,,,ic-photo-Intel--80523PY350512--(Pentium-II-CPU).JPG,,,,,,,datasheet-Intel-Pentium-II-350MHz-400MHz-450MHz.pdf,,,,,,
,,N4,1,X,Intel,80523PY400512PE,,,,,CPU,"Pentium II",,,,Deschutes,,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,400MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC-242,,"Slot 1",7.5M,0.25u,CMOS,131mm^2,2.0V,,,3.3V,,,,,32.73W,,,,1998,1998,,"Desktop computers",,,,"B80523P400512E is a boxed processor, 80523PY400512PE is an OEM/tray processor, processor can be marked as 400/512/100/2.0V",ic-photo-Intel--80523PY400512PE-(Pentium-II-MMX-CPU).jpg,,,,,,,datasheet-Intel-Pentium-II-350MHz-400MHz-450MHz.pdf,,,,,,
,,MW,1,X,Intel,B80523P350512E,,,,,CPU,"Pentium II",,,,Deschutes,,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,350MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC-242,,"Slot 1",7.5M,0.25u,CMOS,131mm^2,2.0V,,,3.3V,,,,,29.52W,,,,1998,1998,,"Desktop computers",,,,"Pentium II 350PE (Deschutes) w/ fan",ic-photo-Intel--B80523P350512E--(Pentium-II-MMX-CPU-w-Fan).jpg,,,,,,,datasheet-Intel-Pentium-II-350MHz-400MHz-450MHz.pdf,,,,,,
,,MZ,1,X,Intel,B80523P400512E,,,,,CPU,"Pentium II",,,,Deschutes,,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,400MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC-242,,"Slot 1",7.5M,0.25u,CMOS,131mm^2,2.0V,,,3.3V,,,,,32.72W,,,,1998,1998,,"Desktop computers",,,,.,ic-photo-Intel--B80523P400512E-(Pentium-II-MMX-CPU).jpg,,,,,,,datasheet-Intel-Pentium-II-350MHz-400MHz-450MHz.pdf,,,,,,
,"450/512/100/2.0V (Pentium III)",N5,1,X,Intel,80525PY450512,450/512/100/2.0V,SL35D,,,CPU,"Pentium III",,,,Katmai,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,450MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC2,,"Slot 1 (SC242)",9.5M,0.25u,CMOS,,2.0V,,,3.3V,,,,,33.76W,,,,1999,1999,,"Desktop computers",,,,,ic-photo-Intel--80525PY450512--(Pentium-III-CPU).JPG,,,,,,,datasheet-Intel-Pentium-III-SECC--450-500-533E-533EB-550-550E-600-600B-600E-600EB-650-667-700-733-750-800-800EB-850-866-933-1.0GHz-1.0BGHz.pdf,,,,,,
,"500/512/100/2.0V (Pentium III)",N6,1,X,Intel,80525PY500512,500/512/100/2.0V,SL35E,,,CPU,"Pentium III",,,,Katmai,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,500MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC2,,"Slot 1 (SC242)",9.5M,0.25u,CMOS,,2.0V,,,3.3V,,,,,37.52W,,,,1999,1999,,"Desktop computers",,,,,ic-photo-Intel--80525PY500512--(Pentium-III-CPU).JPG,,,,,,,datasheet-Intel-Pentium-III-SECC--450-500-533E-533EB-550-550E-600-600B-600E-600EB-650-667-700-733-750-800-800EB-850-866-933-1.0GHz-1.0BGHz.pdf,,,,,,
,"550/512/100/2.0V (Pentium III)",N7,1,X,Intel,80525PY550512,550/512/100/2.0V,SL3F7,,,CPU,"Pentium III",,,,Katmai,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,550MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,SECC2,,"Slot 1 (SC242)",9.5M,0.25u,CMOS,,2.0V,,,3.3V,,,,,39.8W,,,,1999,1999,700,"Desktop computers",,,,,ic-photo-Intel--80525PY550512--(Pentium-III-CPU).JPG,,,,,,,datasheet-Intel-Pentium-III-SECC--450-500-533E-533EB-550-550E-600-600B-600E-600EB-650-667-700-733-750-800-800EB-850-866-933-1.0GHz-1.0BGHz.pdf,,,,,,
,"866/256/133/1.7V (Pentium III)",N8,1,X,Intel,80526PZ866256,866/256/133/1.7V,SL4BV,80526PZ866256,80526PZ866256,CPU,"Pentium III",,,,Coppermine,686,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,866MHz,133MHz,,,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,SECC2,,"Slot 1 (SC242)",28M,0.18u,CMOS,,1.7V,,,3.3V,,,,,27.71W,,,,2000,2000,,"Desktop computers",,,,,ic-photo-Intel--80526PZ866256--(Pentium-III-CPU).JPG,,,,,,,datasheet-Intel-Pentium-III-SECC--450-500-533E-533EB-550-550E-600-600B-600E-600EB-650-667-700-733-750-800-800EB-850-866-933-1.0GHz-1.0BGHz.pdf,,,,,,
